First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Michael,Rexrode,D,22,Atlas,10,2,2,1,0,1,0,1,1,1,1,1,1,1,1,2,12,14,55,52,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0
Kyle,Jackson,M,47,Atlas,3,2,1,1,1,0,1,10,0.1,7,0.7,0,0,0,0,2,0,0,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1
Mike,Sisselberger,FO,99,Archers,5,2,1,1,1,0,1,5,0.2,3,0.6,1,0,1,1,3,0,22,19,11,0.35,36,64,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Max,Krevsky,SSDM,48,Atlas,8,2,0,0,0,0,2,5,0,3,0.6,0,0,0,0,7,2,6,63,51,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jonathan,Donville,M,3,Outlaws,5,2,2,2,2,0,0,7,0.28,5,0.71,0,0,0,0,3,1,4,60,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Jack,McDonald,LSM,11,Whipsnakes,4,2,2,2,2,0,0,2,1,2,1,0,0,0,0,1,0,5,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Dylan,Hess,SSDM,8,Waterdogs,10,2,1,1,1,0,1,6,0.16,3,0.5,2,0,0,0,0,4,11,73,67,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greg,Langermeier,SSDM,38,Chaos,9,2,0,0,0,0,2,5,0,0,0,0,0,0,0,4,4,8,56,47,0.33,1,2,3,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Bryce,Ford,M,23,Archers,3,2,2,2,2,0,0,4,0.5,3,0.75,0,0,0,0,1,0,2,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Alec,Stathakis,FO,73,Waterdogs,10,2,2,2,2,0,0,12,0.16,4,0.33,4,0,1,0.25,7,2,58,74,55,0.52,131,114,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jack,VanOverbeke,M,9,Outlaws,6,2,0,0,0,0,2,14,0,8,0.57,0,0,0,0,5,0,2,60,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman,Puglise,SSDM,8,Whipsnakes,8,2,1,1,1,0,1,6,0.16,4,0.66,1,0,1,1,3,1,11,82,73,0,0,0,0,0,0,0,0,0,0,0,6,3.5,0,0,0,0,0,1,0
Jack,Gray,SSDM,20,Outlaws,4,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,10,9,1,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Tyler,Carpenter,LSM,5,Atlas,10,2,1,1,1,0,1,5,0.2,3,0.6,4,0,2,0.5,4,7,28,85,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris,Merle,SSDM,23,Redwoods,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,4,13,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcus,Hudgins,LSM,11,Waterdogs,7,1,0,0,0,0,1,1,0,1,1,1,0,1,1,4,9,16,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin,Squires,LSM,39,Whipsnakes,10,1,0,0,0,0,1,1,0,0,0,1,0,0,0,5,3,35,55,49,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kenny,Brower,D,29,Waterdogs,8,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,9,13,47,46,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
CJ,Costabile,LSM,6,Player Pool,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
