First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Shane,Knobloch,M,27,Chaos,1,1,1,1,1,0,0,6,0.16,3,0.5,0,0,0,0,1,0,0,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adam,Charalambides,A,8,Chaos,1,1,0,0,0,0,1,5,0,5,1,0,0,0,0,1,1,2,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Traynor,M,2,Atlas,1,1,1,1,1,0,0,6,0.16,3,0.5,0,0,0,0,1,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Reid,Bowering,M,98,Atlas,1,1,0,0,0,0,1,4,0,3,0.75,0,0,0,0,2,1,3,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Ambler,M,13,Archers,2,1,1,1,1,0,0,8,0.12,3,0.37,1,0,1,1,3,1,3,55,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jack,McDonald,LSM,11,Whipsnakes,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Emmet,Carroll,G,19,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,19,18,0,0,0,0,16,11,0.45,8,0.72,16,3,0,0,0,0,1,0,0,0,0
AJ,Mercurio,D,13,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Shipley,M,4,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,13,12,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Zappitello,D,36,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Rambo,A,9,Whipsnakes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim,Muller,D,14,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petey,LaSalla,FO,5,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0.43,10,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Posey,D,43,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jake,Bernhardt,SSDM,83,Whipsnakes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,9,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy,Freehill,D,5,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ben,Wayer,LSM,4,Waterdogs,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Connor,Farrell,FO,41,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,11,9,0.64,18,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny,Brower,D,29,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus,Hudgins,LSM,11,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Michael,Lampert,A,7,Waterdogs,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,DeLuca,G,1,Waterdogs,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,14,12,0,0,0,0,14,15,0.53,2,0.13,14,1,0,0,0,0,3,0,0,0,0
Gavin,Adler,D,97,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Hayes,SSDM,23,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD,Ierlan,FO,6,Redwoods,1,0,0,0,0,0,0,2,0,1,0.5,1,0,0,0,0,0,8,11,9,0.58,10,7,17,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Jared,Conners,LSM,28,Redwoods,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole,Kastner,D,39,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Merle,SSDM,23,Redwoods,1,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
